Dealer,Destination,PreferenceOrder,TransportCompanyId,TransportCompanyName,TruckNumber,SupplierRating,BankGuarantee
Destiny RV / Dario,St Marys (SA),3,,Brohood,3,6.7,Yes
Destiny RV / Dario,St Marys (SA),4,,AC Transport,13,9.4,No
Destiny RV / Dario,St Marys (SA),5,,RV Transport,7,9.8,No
Destiny RV / Dario,St Marys (SA),6,,BCT,7,5.3,Yes
Destiny RV / Dario,St Marys (SA),7,,CBC,60,8.2,Yes
Destiny RV / Dario,St Marys (SA),8,,Rescue 6 Towing,3,8.6,No
Perth,St James (WA),1,,Wardys,1,9.0,No
Perth,St James (WA),2,,MJO,2,9.1,No
Perth,St James (WA),3,,Brohood,3,6.7,Yes
Perth,St James (WA),4,,CBC,60,8.2,Yes
Perth,St James (WA),5,,BCT,20,5.3,Yes
Perth,St James (WA),6,,LDA,6,6.4,Yes
Perth,St James (WA),7,,RV Transport,7,9.8,No
Perth,St James (WA),8,,Rescue 6 Towing,3,8.6,No
Launceston,Snowy River Launceston,1,,Action Towing,2,10.0,No
Launceston,Snowy River Launceston,2,,,
Launceston,Snowy River Launceston,3,,,
Launceston,Snowy River Launceston,4,,,
Launceston,Snowy River Launceston,5,,,
Launceston,Snowy River Launceston,6,,,
Launceston,Snowy River Launceston,7,,,
Launceston,Snowy River Launceston,8,,,
